param1 param2 velocity_relative_error second_field_relative_error
1.000000000000000000e+00 8.111111111111111160e-01 5.923644120619940323e-06 8.747765578578048601e-05
2.000000000000000000e+00 8.111111111111111160e-01 5.723214129921771333e-06 4.386716398980143930e-05
3.000000000000000000e+00 8.111111111111111160e-01 6.538868205607795215e-06 3.458019164267091413e-05
4.000000000000000000e+00 8.111111111111111160e-01 4.092190984994089600e-06 2.270534149152422018e-05
5.000000000000000000e+00 8.111111111111111160e-01 3.619215330972695293e-06 3.197160956159123500e-05
6.000000000000000000e+00 8.111111111111111160e-01 4.180820557375890127e-06 2.680777362950239150e-05
7.000000000000000000e+00 8.111111111111111160e-01 3.888970148664909087e-06 1.519946721055439849e-05
8.000000000000000000e+00 8.111111111111111160e-01 2.572715586243244517e-06 1.953208410982526039e-05
9.000000000000000000e+00 8.111111111111111160e-01 1.726703719832324181e-06 2.421810400217964485e-05
1.000000000000000000e+01 8.111111111111111160e-01 4.735107672906532432e-06 3.204595740394594697e-05
1.000000000000000000e+00 9.000000000000000222e-01 6.223989609179426076e-06 1.706387797380233638e-04
2.000000000000000000e+00 9.000000000000000222e-01 4.869548004913931389e-06 1.222100347758710770e-04
3.000000000000000000e+00 9.000000000000000222e-01 4.298780901681157952e-06 8.259482367335628885e-05
4.000000000000000000e+00 9.000000000000000222e-01 3.421462407823085932e-06 4.046969129292327013e-05
5.000000000000000000e+00 9.000000000000000222e-01 3.762489654992501042e-06 3.017316526805204511e-05
6.000000000000000000e+00 9.000000000000000222e-01 3.640869505943647611e-06 2.142787339150209572e-05
7.000000000000000000e+00 9.000000000000000222e-01 2.929094161058736162e-06 2.177453473464745977e-05
8.000000000000000000e+00 9.000000000000000222e-01 2.592453162038016836e-06 2.922784591292178151e-05
9.000000000000000000e+00 9.000000000000000222e-01 3.933534591335467739e-06 2.238295533475622234e-05
1.000000000000000000e+01 9.000000000000000222e-01 6.509659295081858908e-06 2.548361674908298036e-05
