param1 param2 velocity_relative_error second_field_relative_error
6.000000000000000000e+00 2.777777777777777901e-01 4.001018273466193549e-03 1.326491700881445857e-01
6.000000000000000000e+00 2.777777777777777901e-01 4.347084160520876296e-03 3.698785550671921524e-02
6.000000000000000000e+00 2.777777777777777901e-01 8.332131830685910248e-03 2.975695114144052619e-02
6.000000000000000000e+00 2.777777777777777901e-01 9.911553537827740706e-03 9.343284696828084435e-02
6.000000000000000000e+00 2.777777777777777901e-01 1.044787263389454143e-02 2.514842625509797203e-02
6.000000000000000000e+00 2.777777777777777901e-01 7.217607185618185768e-03 2.381637684147925801e-02
6.000000000000000000e+00 2.777777777777777901e-01 6.917159599428145990e-03 2.375135924455712075e-02
7.000000000000000000e+00 2.777777777777777901e-01 1.679177117895099339e-02 1.261632319539414127e-01
7.000000000000000000e+00 2.777777777777777901e-01 3.680423839572515617e-03 7.687324524294769645e-02
7.000000000000000000e+00 2.777777777777777901e-01 4.123591152800348131e-03 8.311660834032988387e-02
7.000000000000000000e+00 2.777777777777777901e-01 3.815193672478789811e-03 1.414205610397809287e-01
7.000000000000000000e+00 2.777777777777777901e-01 4.092645027558059791e-03 4.369530522210517826e-02
7.000000000000000000e+00 2.777777777777777901e-01 8.409788291810514627e-03 2.707612187884087321e-02
7.000000000000000000e+00 2.777777777777777901e-01 9.129530156042404976e-03 3.304457600704426012e-02
7.000000000000000000e+00 2.777777777777777901e-01 1.060480079327865734e-02 2.710488180342731854e-02
7.000000000000000000e+00 2.777777777777777901e-01 7.296829378170380763e-03 2.531431026440808182e-02
7.000000000000000000e+00 2.777777777777777901e-01 7.002612314560263326e-03 2.512301555395951916e-02
8.000000000000000000e+00 2.777777777777777901e-01 8.064680331661439050e-03 9.109050074311479672e-02
8.000000000000000000e+00 2.777777777777777901e-01 7.566443716808706095e-03 7.694808496710002499e-02
8.000000000000000000e+00 2.777777777777777901e-01 2.648193198042513886e-03 5.966832177315330860e-02
8.000000000000000000e+00 2.777777777777777901e-01 3.665035086503024876e-03 1.486981743591380134e-01
8.000000000000000000e+00 2.777777777777777901e-01 3.898131693082894020e-03 5.144386985837740706e-02
8.000000000000000000e+00 2.777777777777777901e-01 8.377942777807668301e-03 2.620311915543192122e-02
8.000000000000000000e+00 2.777777777777777901e-01 1.005061258743126379e-02 3.358518400330250120e-02
8.000000000000000000e+00 2.777777777777777901e-01 1.048386341219108113e-02 2.895365727426820607e-02
8.000000000000000000e+00 2.777777777777777901e-01 7.307533911049604418e-03 2.691628017024895458e-02
8.000000000000000000e+00 2.777777777777777901e-01 7.140322429408492433e-03 2.653825719557470833e-02
9.000000000000000000e+00 2.777777777777777901e-01 8.066903976075529697e-03 9.109047374320854151e-02
9.000000000000000000e+00 2.777777777777777901e-01 3.766486196155314093e-03 7.687713075367838544e-02
9.000000000000000000e+00 2.777777777777777901e-01 2.579097981602844394e-03 5.961190495416600343e-02
9.000000000000000000e+00 2.777777777777777901e-01 3.548703467396194505e-03 1.548194866559600147e-01
9.000000000000000000e+00 2.777777777777777901e-01 3.752490658453859831e-03 5.930223806423688682e-02
9.000000000000000000e+00 2.777777777777777901e-01 8.279220922333871066e-03 2.743045356916795283e-02
9.000000000000000000e+00 2.777777777777777901e-01 1.091115898636794285e-02 3.352259520562993200e-02
9.000000000000000000e+00 2.777777777777777901e-01 1.023006021876417607e-02 3.064945531355319983e-02
9.000000000000000000e+00 2.777777777777777901e-01 7.302538117198757554e-03 2.855689211592495752e-02
9.000000000000000000e+00 2.777777777777777901e-01 7.386471675686222607e-03 2.796232134481361695e-02
