# param1 param2 velocity_error viscosity_error
4.5937098335e+00 5.6431058394e-01 3.2651408680e-02 1.4415447471e-01
4.5937098335e+00 5.6431058394e-01 1.3181696334e-02 2.4114232666e-01
4.5937098335e+00 5.6431058394e-01 4.5299995253e-02 4.1323026413e-01
4.5937098335e+00 5.6431058394e-01 6.0281589244e-02 1.0380275053e-01
4.5937098335e+00 5.6431058394e-01 6.1395367183e-02 3.3135199338e-01
4.5937098335e+00 5.6431058394e-01 2.2126904568e-03 2.3239682066e-02
4.7853246394e+00 3.7338674728e-01 5.0586914327e-03 9.6095495560e-02
4.7853246394e+00 3.7338674728e-01 4.6842685722e-02 1.8776335401e-01
4.7853246394e+00 3.7338674728e-01 4.5910057221e-02 1.7353301053e-01
4.7853246394e+00 3.7338674728e-01 4.2850398222e-02 2.0301614095e-01
4.7853246394e+00 3.7338674728e-01 2.8909159351e-02 1.3622452891e-01
4.7853246394e+00 3.7338674728e-01 3.9571170913e-02 2.2760820662e-01
4.7853246394e+00 3.7338674728e-01 8.6583670044e-02 3.7595639123e-01
4.7853246394e+00 3.7338674728e-01 9.4845637574e-02 9.8994918505e-02
4.7853246394e+00 3.7338674728e-01 9.6880531454e-02 3.4657512187e-01
4.7853246394e+00 3.7338674728e-01 5.6620297571e-03 2.5084271235e-02
4.9071735394e+00 1.5306979357e-01 5.7465588391e-03 9.6101650855e-02
4.9071735394e+00 1.5306979357e-01 4.8062327270e-02 1.6189682888e-01
4.9071735394e+00 1.5306979357e-01 4.8033249528e-02 1.4403294386e-01
4.9071735394e+00 1.5306979357e-01 4.8275413758e-02 1.8271838503e-01
4.9071735394e+00 1.5306979357e-01 5.1697378270e-02 1.1470776248e-01
4.9071735394e+00 1.5306979357e-01 1.0152913903e-01 1.8332441776e-01
4.9071735394e+00 1.5306979357e-01 1.2413389866e-01 2.6314454384e-01
4.9071735394e+00 1.5306979357e-01 1.2348287642e-01 9.0946045111e-02
4.9071735394e+00 1.5306979357e-01 1.2439017593e-01 3.7138304081e-01
4.9071735394e+00 1.5306979357e-01 8.5597268440e-03 2.9087615565e-02
5.1592125591e+00 2.4134013103e-01 5.3131455768e-03 9.6095773266e-02
5.1592125591e+00 2.4134013103e-01 4.7272954944e-02 1.7585480347e-01
5.1592125591e+00 2.4134013103e-01 4.6580658322e-02 1.6067546267e-01
5.1592125591e+00 2.4134013103e-01 4.4284439794e-02 2.0113847591e-01
5.1592125591e+00 2.4134013103e-01 3.4854994676e-02 1.2619299702e-01
5.1592125591e+00 2.4134013103e-01 7.4113573512e-02 2.0731408426e-01
5.1592125591e+00 2.4134013103e-01 1.1524014165e-01 3.2038462903e-01
5.1592125591e+00 2.4134013103e-01 1.1732197788e-01 9.4539581629e-02
5.1592125591e+00 2.4134013103e-01 1.2004785989e-01 3.8254355188e-01
5.1592125591e+00 2.4134013103e-01 7.9497506924e-03 2.0547929371e-02
5.3176324803e+00 7.2239657897e-01 4.9349931750e-03 9.6095487023e-02
5.3176324803e+00 7.2239657897e-01 4.6649359066e-02 2.0558440879e-01
5.3176324803e+00 7.2239657897e-01 4.5587523873e-02 1.9859372549e-01
