# param1 param2 velocity_error viscosity_error
4.0387304031e+00 6.6042501245e-01 5.3266481460e-06 9.7213064130e-05
4.1090017297e+00 1.7629520484e-01 5.0297563938e-05 8.4492686957e-04
4.1967265729e+00 5.3964008296e-01 6.6312584607e-06 7.1075021340e-05
4.2373811818e+00 7.7639607100e-01 1.0416082248e-05 2.0679636060e-04
4.3332721625e+00 7.8685611981e-01 1.0947953589e-05 1.9348450836e-04
4.4501793654e+00 3.2563287749e-01 1.8684068429e-05 3.7831751042e-04
4.5043074980e+00 2.9241854505e-01 1.5038838321e-05 2.7756573935e-04
4.5965124994e+00 4.3636800944e-01 7.5261148588e-06 1.3770191812e-04
4.6924658122e+00 1.6397795683e-01 1.2456011484e-04 2.4578243090e-03
4.7781830341e+00 6.0114265062e-01 7.0307678751e-06 1.2589014793e-04
4.8240510798e+00 3.6621263660e-01 1.1398817338e-05 8.5538845654e-05
4.8776999277e+00 6.9146670162e-01 7.8020539282e-06 1.4944865909e-04
4.9668549168e+00 2.9953337591e-01 1.9187627892e-05 4.0597037626e-04
5.0337895062e+00 8.2348884989e-01 1.2559819517e-05 1.7153899615e-04
5.1753357807e+00 6.5814589759e-01 6.7637270309e-06 1.2824977092e-04
5.2575345732e+00 8.4681196306e-01 4.3778439746e-05 5.3745237800e-04
5.3195227928e+00 3.9786688194e-01 9.3725521558e-06 2.7735327612e-04
5.3832867380e+00 6.1224818927e-01 6.9855907499e-06 1.2818461355e-04
5.4878150318e+00 6.0401686126e-01 7.2576926179e-06 1.6063145176e-04
5.5705595278e+00 5.2177814705e-01 7.8515349865e-06 1.4240426641e-04
5.6156332170e+00 5.8673413403e-01 7.3648538403e-06 1.8767297397e-04
5.6818404309e+00 8.3708887331e-01 3.5041413972e-05 4.5845909889e-04
5.7622112520e+00 5.3272829622e-01 7.4239148539e-06 8.7923098823e-05
5.8635378968e+00 1.4772274744e-01 2.7305120188e-04 6.9310194297e-03
5.9503361581e+00 6.8263461558e-01 7.0667796510e-06 2.1939994991e-04
6.0135151088e+00 3.1456785043e-01 2.0500339366e-05 6.9801744374e-04
6.0884907904e+00 1.8699384022e-01 1.4690568773e-05 2.3696916262e-04
6.2166708661e+00 5.1059386702e-01 7.4579089139e-06 2.2735656941e-04
6.2739339713e+00 5.6989564415e-01 7.2245853711e-06 1.6496748965e-04
6.3448870832e+00 1.6364223182e-01 1.6438056044e-04 4.3784397075e-03
6.3823441580e+00 3.3248021581e-01 1.6839999993e-05 6.3815669275e-04
6.4802568311e+00 7.5318403823e-01 1.3330975346e-05 3.0435827857e-04
6.5593529808e+00 5.6271196043e-01 7.2710183673e-06 1.3664786411e-04
6.6439787918e+00 4.8271972352e-01 6.6727069829e-06 2.4243058786e-04
6.7615828807e+00 4.1172688834e-01 1.1375207150e-05 4.0876346429e-04
6.7936168205e+00 7.6379976425e-01 1.7243133554e-05 3.9178281813e-04
6.9158790329e+00 6.2639893707e-01 4.4089692499e-06 6.6211528958e-05
7.0070982577e+00 5.0324237314e-01 6.5719055067e-06 2.8470047638e-04
7.0338966461e+00 6.7555802637e-01 9.4207871526e-06 2.7470741911e-04
7.1426623197e+00 4.1898023251e-01 1.0267413948e-05 4.0784067106e-04
7.2154374278e+00 6.9827754307e-01 1.0384678777e-05 2.2865743973e-04
7.3051922352e+00 2.4415565838e-01 6.7230924840e-05 1.9100798076e-03
7.4087800729e+00 1.3055553615e-01 5.1047675841e-04 1.2897087411e-02
7.4922887230e+00 1.4991100251e-01 2.6595490290e-04 9.7167826498e-03
7.5713139407e+00 4.2169264732e-01 1.0815846456e-05 4.1656459613e-04
7.6463525625e+00 3.7604662314e-01 1.0565684154e-05 1.9957213620e-04
7.7240073438e+00 7.4774625543e-01 1.3471286478e-05 3.2631523603e-04
7.7752634271e+00 6.3608116428e-01 5.2728203679e-06 4.9560898503e-05
7.8621208479e+00 5.4875107766e-01 6.0953501013e-06 5.1663820244e-05
7.9410673335e+00 3.5731783894e-01 1.0802620807e-05 2.4394704120e-04
7.9849738836e+00 2.7642638522e-01 1.5704671932e-05 8.7152577536e-05
8.0984913312e+00 8.3309371792e-01 4.1957485039e-05 6.3316868856e-04
8.1517277541e+00 3.7379224175e-01 1.2431447402e-05 1.7366632429e-04
8.2391088238e+00 1.7996173057e-01 6.1070901367e-05 1.8447362007e-03
8.3697509094e+00 8.1021218265e-01 4.7917973524e-06 8.9994818219e-05
8.4346288886e+00 4.8534383442e-01 1.1009291563e-05 3.1698229460e-04
8.4854003597e+00 7.9787980687e-01 1.6289052236e-05 3.2793390006e-04
8.5604190275e+00 2.0783717895e-01 9.0755576397e-05 2.5253720471e-03
8.6492225344e+00 8.0215887038e-01 1.2065097101e-05 2.5796479111e-04
8.7073135447e+00 7.7919213792e-01 2.4357089468e-05 5.4624559916e-04
8.7886658187e+00 5.1603516146e-01 1.0347470213e-05 2.8709786288e-04
8.9110549912e+00 5.5736015559e-01 7.5972471275e-06 1.5473893347e-04
9.0077372547e+00 2.2089134135e-01 1.1007494828e-04 3.2526700573e-03
9.0868313746e+00 7.6207215248e-01 1.9941723908e-05 5.0687798190e-04
9.1327267607e+00 2.0013353174e-01 5.9464806231e-05 1.8650388558e-03
9.2532444543e+00 2.3376460596e-01 9.4140381826e-05 3.1052918235e-03
9.2956118024e+00 7.1589226733e-01 1.6840136238e-05 2.2963852399e-04
9.3580835161e+00 2.6279618739e-01 3.9475053482e-05 1.0840031697e-03
9.4842852267e+00 2.0533463719e-01 8.4221925588e-05 2.5199581660e-03
